City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sabha,LY,2022-11-28 18:24:08,27.0377,14.4283,62.37,52,26,8.23
1,Guerrero Negro,MX,2022-11-28 18:24:09,27.9769,-114.0611,67.41,58,25,9.22
2,Ponta Do Sol,PT,2022-11-28 18:24:09,32.6667,-17.1,70.72,78,35,9.08
3,Mataura,NZ,2022-11-28 18:24:10,-46.1927,168.8643,50.79,81,99,1.52
4,Ancud,CL,2022-11-28 18:24:10,-41.8697,-73.8203,61.5,72,37,12.73
5,Port Alfred,ZA,2022-11-28 18:24:10,-33.5906,26.891,68.18,79,69,10.0
6,Hermanus,ZA,2022-11-28 18:24:11,-34.4187,19.2345,72.81,66,77,10.69
7,Port Elizabeth,ZA,2022-11-28 18:24:11,-33.918,25.5701,70.11,81,20,23.02
8,Toora-Khem,RU,2022-11-28 18:24:11,52.4675,96.11,-8.95,98,100,0.72
9,Juneau,US,2022-11-28 18:22:05,58.3019,-134.4197,20.1,100,60,6.6
10,Viedma,AR,2022-11-28 18:24:12,-40.8135,-62.9967,95.54,23,56,17.34
11,Atuona,PF,2022-11-28 18:24:13,-9.8,-139.0333,77.74,73,17,14.54
12,Bredasdorp,ZA,2022-11-28 18:24:13,-34.5322,20.0403,67.6,79,57,13.62
13,Ushuaia,AR,2022-11-28 18:19:49,-54.8,-68.3,67.66,32,75,8.05
14,Punta Arenas,CL,2022-11-28 18:24:05,-53.15,-70.9167,57.22,67,100,25.32
15,Pochutla,MX,2022-11-28 18:24:13,15.7432,-96.4661,87.62,56,16,6.53
16,Pueblo,US,2022-11-28 18:22:02,38.2545,-104.6091,61.56,24,0,5.75
17,Bonthe,SL,2022-11-28 18:24:14,7.5264,-12.505,80.76,72,99,8.39
18,Caravelas,BR,2022-11-28 18:24:14,-17.7125,-39.2481,77.52,85,99,10.6
19,Holme,DK,2022-11-28 18:24:15,56.1138,10.1725,44.17,85,100,19.24
20,Altus,US,2022-11-28 18:24:15,34.6381,-99.334,62.11,62,0,16.11
21,San Cristobal,VE,2022-11-28 18:24:16,7.7669,-72.225,77.18,81,97,1.99
22,Pokosnoye,RU,2022-11-28 18:24:16,55.5258,101.0536,-3.17,88,100,15.37
